0,0,0,11500,0.001554895
0,0,1,10200,0.001379124
0,0,2,15100,0.002041644
0,0,3,14000,0.001892915
0,0,4,14000,0.001892915
0,0,5,19400,0.002623039
0,0,6,19900,0.002690644
0,1,0,11600,0.001568415
0,1,1,10700,0.001446728
0,1,2,24300,0.00328556
0,1,3,21800,0.002947539
0,1,4,20000,0.002704164
0,1,5,20600,0.002785289
0,1,6,22900,0.003096268
1,0,0,8500,0.00114927
1,0,1,6300,0.000851812
1,0,2,9300,0.001257436
1,0,3,10400,0.001406165
1,0,4,10700,0.001446728
1,0,5,14600,0.00197404
1,0,6,14700,0.001987561
1,1,0,8300,0.001122228
1,1,1,6900,0.000932937
1,1,2,18500,0.002501352
1,1,3,17100,0.002312061
1,1,4,14800,0.002001082
1,1,5,16200,0.002190373
1,1,6,16900,0.002285019
2,0,0,30900,0.004177934
2,0,1,22100,0.002988102
2,0,2,30500,0.004123851
2,0,3,33200,0.004488913
2,0,4,33700,0.004556517
2,0,5,43300,0.005854516
2,0,6,46300,0.006260141
2,1,0,29300,0.003961601
2,1,1,22600,0.003055706
2,1,2,42600,0.00575987
2,1,3,54400,0.007355327
2,1,4,47600,0.006435911
2,1,5,47500,0.00642239
2,1,6,54100,0.007314765
3,0,0,15800,0.00213629
3,0,1,11100,0.001500811
3,0,2,14000,0.001892915
3,0,3,15500,0.002095727
3,0,4,17100,0.002312061
3,0,5,20800,0.002812331
3,0,6,21800,0.002947539
3,1,0,14700,0.001987561
3,1,1,11000,0.00148729
3,1,2,21200,0.002866414
3,1,3,26500,0.003583018
3,1,4,23400,0.003163872
3,1,5,22900,0.003096268
3,1,6,25000,0.003380206
4,0,0,18900,0.002555435
4,0,1,14500,0.001960519
4,0,2,21200,0.002866414
4,0,3,19300,0.002609519
4,0,4,19500,0.00263656
4,0,5,26600,0.003596539
4,0,6,27900,0.003772309
4,1,0,18000,0.002433748
4,1,1,14100,0.001906436
4,1,2,29300,0.003961601
4,1,3,30200,0.004083288
4,1,4,28200,0.003812872
4,1,5,28600,0.003866955
4,1,6,26700,0.003610059
5,0,0,29000,0.003921038
5,0,1,19200,0.002595998
5,0,2,26500,0.003583018
5,0,3,27900,0.003772309
5,0,4,28700,0.003880476
5,0,5,33200,0.004488913
5,0,6,35300,0.00477285
5,1,0,26600,0.003596539
5,1,1,18800,0.002541915
5,1,2,32500,0.004394267
5,1,3,42900,0.005800433
5,1,4,38900,0.0052596
5,1,5,34900,0.004718767
5,1,6,39100,0.005286641
6,0,0,24900,0.003366685
6,0,1,17600,0.002379665
6,0,2,28800,0.003893997
6,0,3,24800,0.003353164
6,0,4,23800,0.003217956
6,0,5,33000,0.004461871
6,0,6,34900,0.004718767
6,1,0,23600,0.003190914
6,1,1,18300,0.00247431
6,1,2,36600,0.004948621
6,1,3,40400,0.005462412
6,1,4,35400,0.004786371
6,1,5,38400,0.005191996
6,1,6,38700,0.005232558
7,0,0,23400,0.003163872
7,0,1,19000,0.002568956
7,0,2,24500,0.003312601
7,0,3,24900,0.003366685
7,0,4,27100,0.003664143
7,0,5,35600,0.004813413
7,0,6,36300,0.004908058
7,1,0,22600,0.003055706
7,1,1,18200,0.00246079
7,1,2,28800,0.003893997
7,1,3,35900,0.004853975
7,1,4,36300,0.004908058
7,1,5,37400,0.005056787
7,1,6,44300,0.005989724
8,0,0,44100,0.005962683
8,0,1,31600,0.00427258
8,0,2,39900,0.005394808
8,0,3,44100,0.005962683
8,0,4,44600,0.006030287
8,0,5,54100,0.007314765
8,0,6,59800,0.008085452
8,1,0,41300,0.0055841
8,1,1,30600,0.004137372
8,1,2,46800,0.006327745
8,1,3,62300,0.008423472
8,1,4,59600,0.00805841
8,1,5,59800,0.008085452
8,1,6,67800,0.009167117
9,0,0,31500,0.004259059
9,0,1,24100,0.003258518
9,0,2,29300,0.003961601
9,0,3,31400,0.004245538
9,0,4,33300,0.004502434
9,0,5,40100,0.00542185
9,0,6,42800,0.005786912
9,1,0,29000,0.003921038
9,1,1,22700,0.003069227
9,1,2,34500,0.004664684
9,1,3,47000,0.006354786
9,1,4,42200,0.005705787
9,1,5,43900,0.005935641
9,1,6,49300,0.006665765
10,0,0,18100,0.002447269
10,0,1,14200,0.001919957
10,0,2,20300,0.002744727
10,0,3,18300,0.00247431
10,0,4,20500,0.002771769
10,0,5,25800,0.003488372
10,0,6,25300,0.003420768
10,1,0,16800,0.002271498
10,1,1,13300,0.001798269
10,1,2,24100,0.003258518
10,1,3,30000,0.004056247
10,1,4,28700,0.003880476
10,1,5,27600,0.003731747
10,1,6,27000,0.003650622
11,0,0,29100,0.003934559
11,0,1,22500,0.003042185
11,0,2,30200,0.004083288
11,0,3,31000,0.004191455
11,0,4,35000,0.004732288
11,0,5,40500,0.005475933
11,0,6,41100,0.005557058
11,1,0,28700,0.003880476
11,1,1,22300,0.003015143
11,1,2,34600,0.004678204
11,1,3,47200,0.006381828
11,1,4,46100,0.006233099
11,1,5,42700,0.005773391
11,1,6,44100,0.005962683
12,0,0,40400,0.005462412
12,0,1,30100,0.004069767
12,0,2,41700,0.005638183
12,0,3,43300,0.005854516
12,0,4,40700,0.005502975
12,0,5,47900,0.006476474
12,0,6,52000,0.007030827
12,1,0,37900,0.005124392
12,1,1,28400,0.003839913
12,1,2,49600,0.006706328
12,1,3,66800,0.009031909
12,1,4,54500,0.007368848
12,1,5,51900,0.007017307
12,1,6,55500,0.007504056
13,0,0,20300,0.002744727
13,0,1,14500,0.001960519
13,0,2,19300,0.002609519
13,0,3,20600,0.002785289
13,0,4,21000,0.002839373
13,0,5,25700,0.003474851
13,0,6,25900,0.003501893
13,1,0,19600,0.002650081
13,1,1,14100,0.001906436
13,1,2,22000,0.002974581
13,1,3,31600,0.00427258
13,1,4,27300,0.003691184
13,1,5,25400,0.003434289
13,1,6,27200,0.003677664
14,0,0,17700,0.002393186
14,0,1,13500,0.001825311
14,0,2,19600,0.002650081
14,0,3,18700,0.002528394
14,0,4,20900,0.002825852
14,0,5,24700,0.003339643
14,0,6,25100,0.003393726
14,1,0,17500,0.002366144
14,1,1,13300,0.001798269
14,1,2,23200,0.003136831
14,1,3,29600,0.004002163
14,1,4,28600,0.003866955
14,1,5,27800,0.003758789
14,1,6,27600,0.003731747
15,0,0,41100,0.005557058
15,0,1,31500,0.004259059
15,0,2,40100,0.00542185
15,0,3,39800,0.005381287
15,0,4,47900,0.006476474
15,0,5,54100,0.007314765
15,0,6,56800,0.007679827
15,1,0,38600,0.005219037
15,1,1,30800,0.004164413
15,1,2,49600,0.006706328
15,1,3,63100,0.008531639
15,1,4,66400,0.008977826
15,1,5,58500,0.007909681
15,1,6,66600,0.009004867
16,0,0,27500,0.003718226
16,0,1,20900,0.002825852
16,0,2,30000,0.004056247
16,0,3,30700,0.004150892
16,0,4,30500,0.004123851
16,0,5,36400,0.004921579
16,0,6,37700,0.00509735
16,1,0,26300,0.003555976
16,1,1,19900,0.002690644
16,1,2,39700,0.005367766
16,1,3,47000,0.006354786
16,1,4,41500,0.005611141
16,1,5,41000,0.005543537
16,1,6,43600,0.005895078
17,0,0,12700,0.001717144
17,0,1,8300,0.001122228
17,0,2,11900,0.001608978
17,0,3,12800,0.001730665
17,0,4,10600,0.001433207
17,0,5,13500,0.001825311
17,0,6,15000,0.002028123
17,1,0,11700,0.001581936
17,1,1,8700,0.001176312
17,1,2,18700,0.002528394
17,1,3,17600,0.002379665
17,1,4,13900,0.001879394
17,1,5,14100,0.001906436
17,1,6,15200,0.002055165
